Emotion,Text
sadness,ඒක තියෙනවා මගේ යාළුවෙක්ගෙන් මට ආරංචි වුණා එයා ළඟදී බර වැඩි වුණා එයා දැනගෙන හිටියේ නැහැ ඒ මම කියලා
surprise,තවදුරටත් කිසිදු අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
sadness,අම්මෝ ඊයේ මාව වෑන් එකෙන් විසි කරලා එර් එකට අරන් යන්න සිද්ධ වුණා
worry,මම මුදල් ආපසු ගෙවන්නේ නැහැ නමුත් ඔවුන් ගිණුම් නැවත ලබා ගන්නවා සොරා හැක් කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
worry,මගේ වළලුකර උළුක්කු වුණා ඇත්තටම හොඳටම වගේ බඩු ටිකක් ඉරා දැම්මා ඒක රිදෙනවා අද මගේ උපන්දින සති අන්තය
neutral,ආත්මාර්ථකාමීයි අන්තිමට බබා තමයි දුක් විඳින්නේ
neutral,මට සමාවෙන්න මට එරිකා පස්සෙන් එන්න දෙන්නෙ නෑ
sadness,තවමත් බැටළු පැටවෙකු නොමැති වීම කණගාටුවට කරුණක්
worry,වැඩ කරන දවස
sadness,ඔව් ඒකෙ භයානක කොකාටූස් තමයි ජීවත් වෙන්න අමාරුම දේ ඒක හරිම හැඟීම්බර හොඳ දෙයක් එයා ඔයාව හොයාගත්තා
neutral,මට මෑතකදී බර වැඩි වෙලා ටොන් එකක් වැඩි වෙලා කියලා මගේ යාළුවෙක්ගෙන් ඒක ඇහුණා එයා දැනගෙන හිටියේ නෑ ඒ මම කියලා
hate,ටේලර් ස්විෆ්ට් සහ ජෝ ජොනාස් හොඳටම එකට පෙනුනා එයාලා වෙන් වුණාට පස්සේ මට දුකයි
hate,හොඳයි ඒක හොඳ දවසක් වගේ මම හෙට ආයෙත් උත්සාහ කරනවා
sadness,මොකද වෙන්නෙ පැටියෝ
sadness,ෂින් ඒ විවාහ වුණු එක ගැන දුකයි ඇලෙක්ස්ට නෙවෙයි
worry,ගෙදර තනියම කරන්න වැඩි දෙයක් නැහැ
empty,මම ආපහු ගෙදර යන නිසා කේක් කෑල්ල අමතක වුනාට
worry,අද ඉඳන් සංචාරකයින් සඳහා එපිසෙන්ටර් වීලොක් ස්ථාන ඒකක ඇම්ප්
sadness,ඔයා ඔයාගේ වැඩ ඔක්කොම ඉවර කරලා තව පැය ගණනක් වැඩ කරන වෙලාව ඉතුරු වෙලා තියෙද්දි ඔයා ඒකට කැමති නැද්ද
worry,මම හිතන්නේ ඒක සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි තාත්තයි දවල් ඉඳන් දහවල් ඉඳන් මම දහඩිය දානවා නවත්තලා නැහැ මම බඩු පැක් කර කර හිටියා
worry,මගේ ඔළුව හොඳටම රිදෙනවා මට කෑ ගහන්න පුළුවන්
worry,ආව් ඔයාට රහස ගැන මට කියන්න බෑ
hate,නින්දට ගියා ඒත් ලොකු භීතිකාවක් නිසා ඇඳෙන් නැගිට්ටා දැන් මට නිදාගන්න පුළුවන්ද කියලා මට විශ්වාස නෑ
neutral,ඒක නම් කරන්න බෑ
sadness,නෑ නයිට් ඒක පැය ගණනක් ගෙවිලා ගිහින් තියෙනවා
sadness,අම්මෝ ඊයේ මාව වෑන් එකෙන් විසි කරලා එර් එකට අරන් යන්න සිද්ධ වුණා
neutral,මට කේක් කෑල්ල අමතක වුණු නිසා ආපහු ගෙදර යනවා
neutral,හිටින්න ආවේ උදේ පාන්දර අන්තිම පරිච්ඡේදය කියවන්න කැමති නැති නිසා ඒක ඉවර වෙන්න මට ඕන නෑ
