cleaned_content,sentiment
workin at la bootay wheres the warm weather at,enthusiasm
had a great weekend but ate too much i think i am looking forward to my trip to hobart on friday the th,love
our weekend was also great two friends of julia were here for four days,happiness
leuke droom dat werd dus standup comedy,love
eeek your coming im soo excited to see you on thursday,surprise
oh i dont love it just noting that remix kids seem to,surprise
im on my way to see again ive wanted to see it for a looong time,fun
hahaha yes yes of course i look after them when you and jack need alone time d,fun
depois tu pode ver outras sries te indico two and a half men e the big bang theory bem diferentes de comdias,neutral
good to have a boyfriend like you,love
hellooooooo whats the scene people,enthusiasm
just saw a dooope bmw series parked with the top backto bad it was raining,sadness
oh so no male strippers then lmao,surprise
i had a joke for you but its too long to tweet,empty
welcoming new followers amp thanks for the love tweet on,love
is looking forward to a yummy dinner with mizz kate jones this evening,fun
sigh,relief
i wake up at during the week and funny deathcab makes me think of you amp i use your calendar to track work hours,happiness
yes boo for soar throats and earaches,anger
hope its a great one for ya,happiness
my throat is on fire,anger
i am so going to see transformers on imax so excited,surprise
i hate snood lol sorrry i dont know how people play it,hate
time to get off the puter nite all,boredom
ooohhh i understand i never get sick of her so im on your moms side i guess your dad just likes what he likeslol,enthusiasm
is that like planes trains and automobiles best of luck juan pelota,fun
asks can someone pass me some load kahit pesos lang,worry
jia you,enthusiasm
cavs has the easier route than denver,surprise
says tomorrow is another day,fun
the toaster oven was my fault now im going to look like an idiot in front of my father,anger
cant even tell you how much this hair dresser is pissssssing me off she has no clue wtf im asking her to doso im expecting the worst,empty
thanks,relief
should i say goodnight or good morning,surprise
they already are in my books,relief
not so awesome now huh lol,fun
you should,sadness
yes i have my email down to one window most of which are marked for followup on monday all the dang paper still here tho,relief
awesome it feels very fulfilling doesnt it im gonna work on soooo many people over the summer totally excited,happiness
finally getting sleepy right when the sky brightens figures gnimorning,anger
people ask a lot and plus i thought id contribute to a sykes to the trending topics,empty
aww thats so sweet so glad shes home with you now happy mothers day to you,relief
is so gutted she cant get tickets for pink,hate
and the sun is back up again could we have more of the kind of weather we had last january and february i like jackets,happiness
on the way to see my grandparents,happiness
